Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.60961,0.39039
2020-10-12,0.0,0.0,0.0,0.60192,0.39808
2020-10-13,0.0,0.0,0.0,0.57406,0.42594
2020-10-14,0.0,0.0,0.0,0.59273,0.40727
2020-10-15,0.0,0.0,0.0,0.57296,0.42704
2020-10-16,0.0,0.0,0.0,0.53911,0.46089
2020-10-19,0.0,0.0,0.0,0.56819,0.43181
2020-10-20,0.0,0.0,0.0,0.57848,0.42152
2020-10-21,0.0,0.0,0.0,0.57887,0.42113
2020-10-22,0.0,0.0,0.0,0.57039,0.42961
2020-10-23,0.0,0.0,0.0,0.63933,0.36067
2020-10-26,0.0,0.0,0.0,0.71968,0.28032
2020-10-27,0.0,0.0,0.0,0.77693,0.22307
2020-10-28,0.0,0.0,0.0,0.79928,0.20072
2020-10-29,0.0,0.0,0.0,0.80986,0.19014
2020-10-30,0.0,0.0,0.0,0.74732,0.25268
2020-11-02,0.0,0.0,0.0,0.68233,0.31767
2020-11-03,0.0,0.0,0.0,0.66203,0.33797
2020-11-04,0.0,0.0,0.0,0.65455,0.34545
2020-11-05,0.0,0.0,0.0,0.65475,0.34525
2020-11-06,0.0,0.0,0.0,0.69091,0.30909
2020-11-09,0.0,0.0,0.0,0.77215,0.22785
2020-11-10,0.0,0.0,0.0,0.72489,0.27511
2020-11-11,0.0,0.0,0.0,0.72753,0.27247
2020-11-12,0.0,0.0,0.0,0.74096,0.25904
2020-11-13,0.0,0.0,0.0,0.71104,0.28896
2020-11-16,0.0,0.0,0.0,0.71104,0.28896
2020-11-17,0.0,0.0,0.0,0.73988,0.26012
2020-11-18,0.0,0.0,0.0,0.72214,0.27786
2020-11-19,0.0,0.0,0.0,0.69281,0.30719
2020-11-20,0.0,0.0,0.0,0.72363,0.27637
2020-11-23,0.0,0.0,0.0,0.68682,0.31318
2020-11-24,0.0,0.0,0.0,0.69594,0.30406
2020-11-25,0.0,0.0,0.0,0.70325,0.29675
2020-11-26,0.0,0.0,0.0,0.70477,0.29523
2020-11-27,0.0,0.0,0.0,0.75656,0.24344
2020-11-30,0.0,0.0,0.0,0.7629,0.2371
2020-12-01,0.0,0.0,0.0,0.75876,0.24124
2020-12-02,0.0,0.0,0.0,0.75227,0.24773
2020-12-03,0.0,0.0,0.0,0.79444,0.20556
2020-12-04,0.0,0.0,0.0,0.80401,0.19599
2020-12-07,0.0,0.0,0.0,0.81258,0.18742
2020-12-08,0.0,0.0,0.0,0.7973,0.2027
2020-12-09,0.0,0.0,0.0,0.8121,0.1879
2020-12-10,0.0,0.0,0.0,0.81981,0.18019
2020-12-11,0.0,0.0,0.0,0.78001,0.21999
2020-12-14,0.0,0.0,0.0,0.75247,0.24753
2020-12-15,0.0,0.0,0.0,0.73798,0.26202
2020-12-16,0.0,0.0,0.0,0.71826,0.28174
2020-12-17,0.0,0.0,0.0,0.75699,0.24301
2020-12-18,0.0,0.0,0.0,0.78951,0.21049
2020-12-21,0.0,0.0,0.0,0.75402,0.24598
2020-12-22,0.0,0.0,0.0,0.76366,0.23634
2020-12-23,0.0,0.0,0.0,0.73731,0.26269
2020-12-28,0.0,0.0,0.0,0.74875,0.25125
2020-12-29,0.0,0.0,0.0,0.74074,0.25926
2020-12-30,0.0,0.0,0.0,0.74445,0.25555
2020-12-31,0.0,0.0,0.0,0.72657,0.27343
2021-01-04,0.0,0.0,0.0,0.72613,0.27387
2021-01-05,0.0,0.0,0.0,0.70369,0.29631
2021-01-06,0.0,0.0,0.0,0.65577,0.34423
2021-01-07,0.0,0.0,0.0,0.6103,0.3897
2021-01-08,0.0,0.01467,0.0,0.60742,0.37791
2021-01-11,0.0,0.0,0.0,0.58973,0.41027
2021-01-12,0.0,0.0,0.0,0.58524,0.41476
2021-01-13,0.0,0.0,0.0,0.54142,0.45858
2021-01-14,0.0,0.0,0.0,0.55579,0.44421
2021-01-15,0.0,0.0,0.0,0.57202,0.42798
2021-01-18,0.0,0.0,0.0,0.60083,0.39917
2021-01-19,0.0,0.0,0.0,0.59694,0.40306
2021-01-20,0.0,0.0,0.0,0.55986,0.44014
2021-01-21,0.0,0.07693,0.0,0.46902,0.45405
2021-01-22,0.0,0.0,0.0,0.52892,0.46196
2021-01-25,0.02402,0.01038,0.0,0.48728,0.47832
2021-01-26,0.0,0.0,0.0,0.60361,0.39639
2021-01-27,0.0,0.0,0.0,0.60571,0.39026
2021-01-28,0.09512,0.07262,0.0,0.41963,0.41263
2021-01-29,0.02792,0.04307,0.0,0.47801,0.45101
2021-02-01,0.09583,0.0,0.0,0.36425,0.53038
