Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.4145,0.0,0.23924,0.34626
2020-10-12,0.0,0.41527,0.0,0.23884,0.34589
2020-10-13,0.0,0.41515,0.0,0.23921,0.34565
2020-10-14,0.0,0.41545,0.0,0.23928,0.34527
2020-10-15,0.0,0.41647,0.0,0.2376,0.34594
2020-10-16,0.0,0.4188,0.0,0.23441,0.34679
2020-10-19,0.0,0.42081,0.0,0.23217,0.34702
2020-10-20,0.0,0.42022,0.0,0.23272,0.34707
2020-10-21,0.0,0.41669,0.0,0.23622,0.34709
2020-10-22,0.0,0.41443,0.0,0.23857,0.347
2020-10-23,0.0,0.41566,0.0,0.23841,0.34593
2020-10-26,0.0,0.41553,0.0,0.23614,0.34834
2020-10-27,0.0,0.41475,0.0,0.2394,0.34585
2020-10-28,0.0,0.416,0.0,0.23732,0.34668
2020-10-29,0.0,0.41118,0.0,0.24343,0.34539
2020-10-30,0.0,0.40593,0.0,0.24914,0.34494
2020-11-02,0.0,0.41422,0.0,0.24208,0.3437
2020-11-03,0.0,0.41186,0.0,0.2435,0.34464
2020-11-04,0.0,0.41855,0.0,0.23783,0.34361
2020-11-05,0.0,0.41878,0.0,0.23633,0.34489
2020-11-06,0.0,0.41725,0.0,0.23882,0.34393
2020-11-09,0.0,0.41791,0.0,0.24455,0.33754
2020-11-10,0.0,0.41489,0.0,0.24269,0.34243
2020-11-11,0.0,0.42279,0.0,0.23662,0.34059
2020-11-12,0.0,0.42275,0.0,0.23616,0.34109
2020-11-13,0.0,0.42259,0.0,0.23596,0.34145
2020-11-16,0.0,0.42207,0.0,0.23645,0.34148
2020-11-17,0.0,0.42157,0.0,0.23691,0.34152
2020-11-18,0.0,0.42077,0.0,0.23779,0.34145
2020-11-19,0.0,0.42243,0.0,0.23624,0.34133
2020-11-20,0.0,0.42213,0.0,0.23571,0.34216
2020-11-23,0.0,0.42365,0.0,0.23467,0.34167
2020-11-24,0.0,0.42519,0.0,0.23505,0.33976
2020-11-25,0.0,0.42496,0.0,0.23488,0.34016
2020-11-26,0.0,0.42281,0.0,0.23701,0.34018
2020-11-27,0.0,0.42474,0.0,0.23613,0.33913
2020-11-30,0.0,0.42506,0.0,0.2357,0.33924
2020-12-01,0.0,0.42465,0.0,0.23601,0.33934
2020-12-02,0.0,0.42497,0.0,0.23573,0.3393
2020-12-03,0.0,0.42524,0.0,0.23606,0.3387
2020-12-04,0.0,0.42445,0.0,0.23721,0.33834
2020-12-07,0.0,0.42509,0.0,0.23581,0.33911
2020-12-08,0.0,0.42512,0.0,0.23554,0.33934
2020-12-09,0.0,0.42557,0.0,0.23531,0.33912
2020-12-10,0.0,0.42585,0.0,0.23483,0.33932
2020-12-11,0.0,0.42595,0.0,0.23474,0.33931
2020-12-14,0.0,0.42444,0.0,0.23544,0.34012
2020-12-15,0.0,0.42646,0.0,0.23575,0.33779
2020-12-16,0.0,0.42667,0.0,0.23648,0.33686
2020-12-17,0.0,0.42843,0.0,0.23293,0.33864
2020-12-18,0.0,0.43174,0.0,0.23162,0.33664
2020-12-21,0.0,0.43246,0.0,0.22947,0.33808
2020-12-22,0.0,0.42613,0.0,0.23646,0.33741
2020-12-23,0.0,0.42656,0.0,0.23693,0.33652
2020-12-28,0.0,0.42573,0.0,0.23721,0.33706
2020-12-29,0.0,0.42385,0.0,0.23995,0.3362
2020-12-30,0.0,0.42328,0.0,0.24035,0.33638
2020-12-31,0.0,0.42234,0.0,0.24131,0.33635
2021-01-04,0.0,0.4222,0.0,0.24158,0.33623
