Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.63275,0.36725
2020-10-12,0.0,0.0,0.0,0.61041,0.38959
2020-10-13,0.0,0.0,0.0,0.57636,0.42364
2020-10-14,0.0,0.0,0.0,0.56196,0.43804
2020-10-15,0.0,0.0,0.0,0.62444,0.37556
2020-10-16,0.0,0.0,0.0,0.60348,0.39652
2020-10-19,0.0,0.0,0.0,0.6053,0.3947
2020-10-20,0.0,0.0,0.0,0.60357,0.39643
2020-10-21,0.0,0.0,0.0,0.59112,0.40888
2020-10-22,0.0,0.0,0.0,0.60436,0.39564
2020-10-23,0.0,0.0,0.0,0.53594,0.46406
2020-10-26,0.0,0.0,0.0,0.55962,0.44038
2020-10-27,0.0,0.0,0.0,0.54075,0.45925
2020-10-28,0.0,0.0,0.0,0.53509,0.46491
2020-10-29,0.0,0.0,0.0,0.55608,0.44392
2020-10-30,0.0,0.0,0.0,0.66281,0.33719
2020-11-02,0.0,0.0,0.0,0.67595,0.32405
2020-11-03,0.0,0.0,0.0,0.6338,0.3662
2020-11-04,0.0,0.0,0.0,0.63159,0.36841
2020-11-05,0.0,0.0,0.0,0.64057,0.35943
2020-11-06,0.0,0.0,0.0,0.75674,0.24326
2020-11-09,0.0,0.0,0.0,0.73866,0.26134
2020-11-10,0.0,0.0,0.0,0.71166,0.28834
2020-11-11,0.0,0.0,0.0,0.75555,0.24445
2020-11-12,0.0,0.0,0.0,0.77314,0.22686
2020-11-13,0.0,0.0,0.0,0.65681,0.34319
2020-11-16,0.0,0.0,0.0,0.65125,0.34875
2020-11-17,0.0,0.0,0.0,0.66171,0.33829
2020-11-18,0.0,0.0,0.0,0.66074,0.33926
2020-11-19,0.0,0.0,0.0,0.72194,0.27806
2020-11-20,0.0,0.12523,0.0,0.64662,0.22815
2020-11-23,0.0,0.21553,0.0,0.54144,0.24304
2020-11-24,0.0,0.08793,0.0,0.67453,0.23753
2020-11-25,0.0,0.16111,0.0,0.60834,0.23055
2020-11-26,0.0,0.06653,0.0,0.76397,0.1695
2020-11-27,0.0,0.14734,0.0,0.65848,0.19418
2020-11-30,0.0,0.17165,0.0,0.62387,0.20447
2020-12-01,0.0,0.09999,0.0,0.66099,0.23902
2020-12-02,0.0,0.19112,0.0,0.55933,0.24955
