Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.41944,0.0,0.23485,0.34571
2020-10-12,0.0,0.42413,0.0,0.23097,0.3449
2020-10-13,0.0,0.43482,0.0,0.22113,0.34405
2020-10-14,0.0,0.43483,0.0,0.22152,0.34365
2020-10-15,0.0,0.4341,0.0,0.22371,0.34219
2020-10-16,0.0,0.38577,0.0,0.25825,0.35598
2020-10-19,0.0,0.38608,0.0,0.26011,0.35381
2020-10-20,0.0,0.38792,0.0,0.2583,0.35378
2020-10-21,0.0,0.35831,0.0,0.28528,0.35641
2020-10-22,0.0,0.34305,0.0,0.2971,0.35985
2020-10-23,0.0,0.38843,0.0,0.26376,0.34781
2020-10-26,0.0,0.39381,0.0,0.25771,0.34848
2020-10-27,0.0,0.37167,0.0,0.28335,0.34498
2020-10-28,0.0,0.36673,0.0,0.28807,0.3452
2020-10-29,0.0,0.32719,0.0,0.33403,0.33878
2020-10-30,0.0,0.38864,0.0,0.26905,0.34231
2020-11-02,0.0,0.39176,0.0,0.26559,0.34265
2020-11-03,0.0,0.40767,0.0,0.24732,0.34501
2020-11-04,0.0,0.42488,0.0,0.22809,0.34703
2020-11-05,0.0,0.44011,0.0,0.21227,0.34763
2020-11-06,0.0,0.44507,0.0,0.21947,0.33546
2020-11-09,0.0,0.434,0.0,0.22879,0.33721
2020-11-10,0.0,0.38272,0.0,0.2728,0.34448
2020-11-11,0.0,0.38893,0.0,0.26643,0.34463
2020-11-12,0.0,0.37636,0.0,0.2776,0.34604
2020-11-13,0.0,0.42384,0.0,0.23622,0.33994
2020-11-16,0.0,0.42081,0.0,0.23989,0.33931
2020-11-17,0.0,0.41906,0.0,0.24275,0.33819
2020-11-18,0.0,0.41942,0.0,0.24107,0.3395
2020-11-19,0.0,0.42469,0.0,0.23359,0.34173
2020-11-20,0.0,0.40419,0.0,0.24992,0.34589
2020-11-23,0.0,0.41163,0.0,0.24448,0.34389
2020-11-24,0.0,0.40742,0.0,0.24975,0.34283
2020-11-25,0.0,0.41996,0.0,0.23912,0.34091
2020-11-26,0.0,0.42658,0.0,0.23452,0.3389
2020-11-27,0.0,0.43111,0.0,0.23067,0.33822
2020-11-30,0.0,0.43765,0.0,0.22405,0.33831
2020-12-01,0.0,0.44184,0.0,0.21943,0.33874
2020-12-02,0.0,0.44681,0.0,0.21467,0.33852
2020-12-03,0.0,0.44692,0.0,0.21511,0.33798
2020-12-04,0.0,0.40872,0.0,0.25145,0.33983
2020-12-07,0.0,0.40465,0.0,0.25738,0.33797
2020-12-08,0.0,0.40558,0.0,0.25708,0.33733
2020-12-09,0.0,0.4034,0.0,0.25911,0.33749
2020-12-10,0.0,0.40157,0.0,0.25967,0.33875
