Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.41384,0.0,0.24046,0.3457
2020-10-12,0.0,0.41722,0.0,0.23812,0.34466
2020-10-13,0.0,0.4179,0.0,0.23749,0.34461
2020-10-14,0.0,0.41774,0.0,0.23803,0.34423
2020-10-15,0.0,0.41655,0.0,0.23968,0.34377
2020-10-16,0.0,0.41884,0.0,0.23474,0.34643
2020-10-19,0.0,0.42045,0.0,0.23388,0.34568
2020-10-20,0.0,0.41765,0.0,0.23694,0.3454
2020-10-21,0.0,0.41488,0.0,0.23938,0.34575
2020-10-22,0.0,0.4137,0.0,0.24031,0.34599
2020-10-23,0.0,0.41466,0.0,0.24051,0.34484
2020-10-26,0.0,0.41979,0.0,0.23241,0.3478
2020-10-27,0.0,0.41845,0.0,0.23648,0.34507
2020-10-28,0.0,0.42985,0.0,0.22278,0.34736
2020-10-29,0.0,0.41799,0.0,0.23629,0.34572
2020-10-30,0.0,0.40607,0.0,0.24948,0.34444
2020-11-02,0.0,0.4161,0.0,0.24122,0.34268
2020-11-03,0.0,0.41011,0.0,0.2464,0.34349
2020-11-04,0.0,0.41763,0.0,0.23713,0.34525
2020-11-05,0.0,0.42499,0.0,0.2279,0.34711
2020-11-06,0.0,0.43156,0.0,0.22349,0.34496
2020-11-09,0.0,0.44564,0.0,0.21636,0.338
2020-11-10,0.0,0.42447,0.0,0.23338,0.34215
2020-11-11,0.0,0.42252,0.0,0.23779,0.33969
2020-11-12,0.0,0.42401,0.0,0.23556,0.34043
2020-11-13,0.0,0.42354,0.0,0.23565,0.34081
2020-11-16,0.0,0.42355,0.0,0.23546,0.34099
2020-11-17,0.0,0.42276,0.0,0.23608,0.34116
2020-11-18,0.0,0.42099,0.0,0.2381,0.34091
2020-11-19,0.0,0.42238,0.0,0.23699,0.34063
2020-11-20,0.0,0.42187,0.0,0.23694,0.34118
2020-11-23,0.0,0.42345,0.0,0.23577,0.34078
2020-11-24,0.0,0.42436,0.0,0.23654,0.3391
2020-11-25,0.0,0.42486,0.0,0.23576,0.33938
2020-11-26,0.0,0.42255,0.0,0.23818,0.33926
2020-11-27,0.0,0.42574,0.0,0.23569,0.33857
2020-11-30,0.0,0.42873,0.0,0.23188,0.33938
2020-12-01,0.0,0.42924,0.0,0.2313,0.33946
2020-12-02,0.0,0.43164,0.0,0.22855,0.33981
2020-12-03,0.0,0.43621,0.0,0.22464,0.33915
2020-12-04,0.0,0.44314,0.0,0.21717,0.33969
2020-12-07,0.0,0.43672,0.0,0.22258,0.34071
2020-12-08,0.0,0.43279,0.0,0.22673,0.34048
2020-12-09,0.0,0.4362,0.0,0.2233,0.3405
2020-12-10,0.0,0.4338,0.0,0.22599,0.34021
2020-12-11,0.0,0.43039,0.0,0.23005,0.33956
2020-12-14,0.0,0.4267,0.0,0.23335,0.33995
2020-12-15,0.0,0.42676,0.0,0.23305,0.34018
2020-12-16,0.0,0.42521,0.0,0.23516,0.33963
2020-12-17,0.0,0.44059,0.0,0.21959,0.33982
2020-12-18,0.0,0.45848,0.0,0.20263,0.33889
2020-12-21,0.0,0.45002,0.0,0.21112,0.33886
2020-12-22,0.0,0.4318,0.0,0.23067,0.33754
2020-12-23,0.0,0.43002,0.0,0.23243,0.33755
2020-12-28,0.0,0.43113,0.0,0.23033,0.33855
2020-12-29,0.0,0.43847,0.0,0.22349,0.33804
2020-12-30,0.0,0.43786,0.0,0.22364,0.3385
2020-12-31,0.0,0.44056,0.0,0.2191,0.34034
2021-01-04,0.0,0.44794,0.0,0.21074,0.34132
2021-01-05,0.0,0.46254,0.0,0.19359,0.34388
2021-01-06,0.0,0.4496,0.0,0.2077,0.3427
2021-01-07,0.0,0.44736,0.0,0.20844,0.3442
2021-01-08,0.0,0.46255,0.0,0.19423,0.34322
2021-01-11,0.0,0.46065,0.0,0.19664,0.34272
2021-01-12,0.0,0.45988,0.0,0.19434,0.34579
2021-01-13,0.0,0.4747,0.0,0.18098,0.34432
2021-01-14,0.0,0.4829,0.0,0.17273,0.34437
2021-01-15,0.0,0.51123,0.0,0.14805,0.34072
2021-01-18,0.0,0.49646,0.0,0.16107,0.34246
2021-01-19,0.0,0.5046,0.0,0.15522,0.34017
2021-01-20,0.0,0.49942,0.0,0.15946,0.34111
2021-01-21,0.0,0.48045,0.0,0.18425,0.33531
2021-01-22,0.0,0.47903,0.0,0.1876,0.33337
2021-01-25,0.0,0.47391,0.0,0.19105,0.33504
2021-01-26,0.0,0.47393,0.0,0.18883,0.33724
2021-01-27,0.0,0.4795,0.0,0.18685,0.33365
2021-01-28,0.0,0.45754,0.0,0.2089,0.33357
2021-01-29,0.0,0.46831,0.0,0.19718,0.3345
2021-02-01,0.0,0.44939,0.0,0.21724,0.33337
2021-02-02,0.0,0.45678,0.0,0.20852,0.33469
2021-02-03,0.0,0.47121,0.0,0.19246,0.33633
2021-02-04,0.0,0.46427,0.0,0.19482,0.34091
2021-02-05,0.0,0.46973,0.0,0.19118,0.3391
2021-02-08,0.0,0.47581,0.0,0.18837,0.33581
2021-02-09,0.0,0.47816,0.0,0.1833,0.33854
2021-02-10,0.0,0.47765,0.0,0.18017,0.34218
2021-02-11,0.0,0.46905,0.0,0.18781,0.34314
2021-02-12,0.0,0.47767,0.0,0.1816,0.34073
2021-02-15,0.0,0.49547,0.0,0.16652,0.33801
2021-02-16,0.0,0.49052,0.0,0.16955,0.33993
2021-02-17,0.0,0.48865,0.0,0.16923,0.34213
2021-02-18,0.0,0.46028,0.0,0.18361,0.35612
2021-02-19,0.0,0.45152,0.0,0.19073,0.35775
2021-02-22,0.0,0.45229,0.0,0.19032,0.35739
2021-02-23,0.0,0.44131,0.0,0.17445,0.38425
2021-02-24,0.0,0.42652,0.0,0.19132,0.38216
2021-02-25,0.0,0.43554,0.0,0.17582,0.38865
2021-02-26,0.0,0.42819,0.0,0.1821,0.38971
2021-03-01,0.0,0.4144,0.0,0.18099,0.40461
2021-03-02,0.0,0.42433,0.0,0.15856,0.41711
2021-03-03,0.0,0.41608,0.0,0.17067,0.41325
2021-03-04,0.0,0.41792,0.0,0.1865,0.39558
2021-03-05,0.0,0.40035,0.0,0.18052,0.41913
2021-03-08,0.0,0.39541,0.0,0.18656,0.41803
2021-03-09,0.0,0.43725,0.0,0.2182,0.34455
2021-03-10,0.0,0.46505,0.0,0.18858,0.34638
2021-03-11,0.0,0.40995,0.0,0.22139,0.36106
2021-03-12,0.0,0.43837,0.0,0.21246,0.34769
2021-03-15,0.0,0.38641,0.03274,0.25272,0.32813
2021-03-16,0.0,0.40243,0.03122,0.24265,0.3237
2021-03-17,0.0,0.43456,0.04945,0.20401,0.31197
2021-03-18,0.0,0.41522,0.0502,0.22958,0.305
2021-03-19,0.0,0.38166,0.13317,0.20061,0.28456
2021-03-22,0.0,0.4027,0.11034,0.18916,0.2978
2021-03-23,0.0,0.42218,0.11109,0.16734,0.29939
2021-03-24,0.0,0.40039,0.13739,0.14005,0.32218
2021-03-25,0.0,0.39777,0.13187,0.14363,0.32673
2021-03-26,0.0,0.39717,0.14023,0.13999,0.32261
2021-03-29,0.0,0.37701,0.16842,0.14662,0.30795
2021-03-30,0.0,0.33484,0.19539,0.15814,0.31163
2021-03-31,0.0,0.35731,0.18456,0.16103,0.2971
2021-04-01,0.0,0.34693,0.19703,0.17288,0.28317
2021-04-06,0.0,0.32912,0.20325,0.18474,0.28289
2021-04-07,0.0,0.34269,0.20748,0.18068,0.26915
2021-04-08,0.0,0.33731,0.1966,0.19071,0.27537
2021-04-09,0.0,0.32452,0.21762,0.18119,0.27667
2021-04-12,0.0,0.37065,0.21379,0.16283,0.25273
2021-04-13,0.0,0.39151,0.19721,0.1729,0.23838
2021-04-14,0.0,0.43378,0.18459,0.16241,0.21922
2021-04-15,0.0,0.428,0.17738,0.15388,0.24074
2021-04-16,0.0,0.43927,0.17818,0.14713,0.23542
2021-04-19,0.0,0.45292,0.17439,0.1481,0.22458
2021-04-20,0.0,0.43278,0.17444,0.1623,0.23048
2021-04-21,0.0,0.43,0.17118,0.16895,0.22987
2021-04-22,0.0,0.44055,0.16448,0.17513,0.21983
2021-04-23,0.0,0.41255,0.18142,0.19371,0.21232
2021-04-26,0.0,0.43578,0.16987,0.19811,0.19625
2021-04-27,0.0,0.44861,0.16182,0.18551,0.20406
2021-04-28,0.0,0.46808,0.17087,0.18683,0.17422
2021-04-29,0.0,0.47412,0.16331,0.19212,0.17044
2021-04-30,0.0,0.4739,0.16299,0.18851,0.17461
2021-05-03,0.0,0.47997,0.17348,0.1819,0.16465
2021-05-04,0.0,0.49968,0.16624,0.19407,0.14
2021-05-05,0.0,0.455,0.15255,0.24704,0.14541
