Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.60892,0.39108
2020-10-12,0.0,0.0,0.0,0.60125,0.39875
2020-10-13,0.0,0.0,0.0,0.57346,0.42654
2020-10-14,0.0,0.0,0.0,0.59198,0.40802
2020-10-15,0.0,0.0,0.0,0.57223,0.42777
2020-10-16,0.0,0.0,0.0,0.53847,0.46153
2020-10-19,0.0,0.0,0.0,0.56747,0.43253
2020-10-20,0.0,0.0,0.0,0.57772,0.42228
2020-10-21,0.0,0.0,0.0,0.57804,0.42196
2020-10-22,0.0,0.0,0.0,0.56958,0.43042
2020-10-23,0.0,0.0,0.0,0.63835,0.36165
2020-10-26,0.0,0.0,0.0,0.71857,0.28143
2020-10-27,0.0,0.0,0.0,0.77556,0.22444
2020-10-28,0.0,0.0,0.0,0.79802,0.20198
2020-10-29,0.0,0.0,0.0,0.80854,0.19146
2020-10-30,0.0,0.0,0.0,0.74618,0.25382
2020-11-02,0.0,0.0,0.0,0.68125,0.31875
2020-11-03,0.0,0.0,0.0,0.66106,0.33894
2020-11-04,0.0,0.0,0.0,0.65375,0.34625
2020-11-05,0.0,0.0,0.0,0.65393,0.34607
2020-11-06,0.0,0.0,0.0,0.68987,0.31013
2020-11-09,0.0,0.0,0.0,0.77081,0.22919
2020-11-10,0.0,0.0,0.0,0.72359,0.27641
2020-11-11,0.0,0.0,0.0,0.72636,0.27364
2020-11-12,0.0,0.0,0.0,0.73974,0.26026
2020-11-13,0.0,0.0,0.0,0.70985,0.29015
2020-11-16,0.0,0.0,0.0,0.70989,0.29011
2020-11-17,0.0,0.0,0.0,0.7387,0.2613
2020-11-18,0.0,0.0,0.0,0.721,0.279
2020-11-19,0.0,0.0,0.0,0.69173,0.30827
2020-11-20,0.0,0.0,0.0,0.72238,0.27762
2020-11-23,0.0,0.0,0.0,0.68573,0.31427
2020-11-24,0.0,0.0,0.0,0.69493,0.30507
2020-11-25,0.0,0.0,0.0,0.7022,0.2978
2020-11-26,0.0,0.0,0.0,0.70366,0.29634
2020-11-27,0.0,0.0,0.0,0.75544,0.24456
2020-11-30,0.0,0.0,0.0,0.76187,0.23813
2020-12-01,0.0,0.0,0.0,0.75774,0.24226
2020-12-02,0.0,0.0,0.0,0.75125,0.24875
2020-12-03,0.0,0.0,0.0,0.7933,0.2067
