Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.41457,0.0,0.23913,0.3463
2020-10-12,0.0,0.41532,0.0,0.23877,0.34591
2020-10-13,0.0,0.41522,0.0,0.23914,0.34564
2020-10-14,0.0,0.41544,0.0,0.23922,0.34535
2020-10-15,0.0,0.41646,0.0,0.23753,0.34601
2020-10-16,0.0,0.41887,0.0,0.23434,0.34679
2020-10-19,0.0,0.42085,0.0,0.2321,0.34705
2020-10-20,0.0,0.42024,0.0,0.23264,0.34712
2020-10-21,0.0,0.4167,0.0,0.23615,0.34715
2020-10-22,0.0,0.41445,0.0,0.2385,0.34706
2020-10-23,0.0,0.41563,0.0,0.23834,0.34603
2020-10-26,0.0,0.41551,0.0,0.23607,0.34842
2020-10-27,0.0,0.41469,0.0,0.23933,0.34597
2020-10-28,0.0,0.41595,0.0,0.23726,0.34679
2020-10-29,0.0,0.41121,0.0,0.24336,0.34543
2020-10-30,0.0,0.40599,0.0,0.24907,0.34493
2020-11-02,0.0,0.41436,0.0,0.24202,0.34362
2020-11-03,0.0,0.41197,0.0,0.24344,0.34459
2020-11-04,0.0,0.41869,0.0,0.23777,0.34354
2020-11-05,0.0,0.41888,0.0,0.23627,0.34485
2020-11-06,0.0,0.41723,0.0,0.23876,0.34401
2020-11-09,0.0,0.41778,0.0,0.2445,0.33772
2020-11-10,0.0,0.41482,0.0,0.24263,0.34255
2020-11-11,0.0,0.42285,0.0,0.23655,0.3406
2020-11-12,0.0,0.42278,0.0,0.2361,0.34112
2020-11-13,0.0,0.42261,0.0,0.23589,0.3415
2020-11-16,0.0,0.4221,0.0,0.23639,0.34151
2020-11-17,0.0,0.42161,0.0,0.23685,0.34154
2020-11-18,0.0,0.42081,0.0,0.23772,0.34146
2020-11-19,0.0,0.42251,0.0,0.23618,0.34131
2020-11-20,0.0,0.42216,0.0,0.23565,0.34219
2020-11-23,0.0,0.42369,0.0,0.23461,0.34169
