Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.59889,0.40111
2020-10-12,0.0,0.0,0.0,0.58911,0.41089
2020-10-13,0.0,0.0,0.0,0.57155,0.42845
2020-10-14,0.0,0.0,0.0,0.56144,0.43856
2020-10-15,0.0,0.0,0.0,0.58067,0.41933
2020-10-16,0.0,0.0,0.0,0.58001,0.41999
2020-10-19,0.0,0.0,0.0,0.61061,0.38939
2020-10-20,0.0,0.0,0.0,0.6169,0.3831
2020-10-21,0.0,0.0,0.0,0.6107,0.3893
2020-10-22,0.0,0.0,0.0,0.59339,0.40661
2020-10-23,0.0,0.0,0.0,0.61734,0.38266
2020-10-26,0.0,0.0,0.0,0.66154,0.33846
2020-10-27,0.0,0.0,0.0,0.73705,0.26295
2020-10-28,0.0,0.0,0.0,0.73157,0.26843
2020-10-29,0.0,0.0,0.0,0.74733,0.25267
2020-10-30,0.0,0.0,0.0,0.70242,0.29758
2020-11-02,0.0,0.0,0.0,0.66915,0.33085
2020-11-03,0.0,0.0,0.0,0.62433,0.37567
2020-11-04,0.0,0.0,0.0,0.61429,0.38571
2020-11-05,0.0,0.0,0.0,0.58367,0.41633
2020-11-06,0.0,0.0,0.0,0.58635,0.41365
2020-11-09,0.0,0.0,0.0,0.67522,0.32478
2020-11-10,0.0,0.0,0.0,0.66263,0.33737
2020-11-11,0.0,0.0,0.0,0.71341,0.28659
2020-11-12,0.0,0.0,0.0,0.6961,0.3039
2020-11-13,0.0,0.0,0.0,0.66425,0.33575
2020-11-16,0.0,0.0,0.0,0.66393,0.33607
2020-11-17,0.0,0.0,0.0,0.69457,0.30543
2020-11-18,0.0,0.0,0.0,0.67068,0.32932
2020-11-19,0.0,0.0,0.0,0.66991,0.33009
2020-11-20,0.0,0.0,0.0,0.69861,0.30139
2020-11-23,0.0,0.0,0.0,0.63528,0.36472
2020-11-24,0.0,0.0,0.0,0.65689,0.34311
2020-11-25,0.0,0.0,0.0,0.65841,0.34159
2020-11-26,0.0,0.0,0.0,0.68004,0.31996
2020-11-27,0.0,0.0,0.0,0.71149,0.28851
2020-11-30,0.0,0.0,0.0,0.71176,0.28824
2020-12-01,0.0,0.0,0.0,0.69371,0.30629
2020-12-02,0.0,0.0,0.0,0.67965,0.32035
2020-12-03,0.0,0.0,0.0,0.71256,0.28744
2020-12-04,0.0,0.0,0.0,0.74505,0.25495
2020-12-07,0.0,0.0,0.0,0.76051,0.23949
2020-12-08,0.0,0.0,0.0,0.74446,0.25554
2020-12-09,0.0,0.0,0.0,0.73026,0.26974
2020-12-10,0.0,0.0,0.0,0.74609,0.25391
2020-12-11,0.0,0.0,0.0,0.71123,0.28877
2020-12-14,0.0,0.0,0.0,0.71384,0.28616
2020-12-15,0.0,0.0,0.0,0.66693,0.33307
2020-12-16,0.0,0.0,0.0,0.67789,0.32211
2020-12-17,0.0,0.0,0.0,0.68998,0.31002
2020-12-18,0.0,0.0,0.0,0.67603,0.32397
2020-12-21,0.0,0.0,0.0,0.66204,0.33796
2020-12-22,0.0,0.0,0.0,0.68168,0.31832
2020-12-23,0.0,0.0,0.0,0.66224,0.33776
2020-12-28,0.0,0.0,0.0,0.66038,0.33962
2020-12-29,0.0,0.01516,0.0,0.61482,0.37002
2020-12-30,0.0,0.0628,0.0,0.58834,0.34887
2020-12-31,0.0,0.07589,0.0,0.53725,0.38686
2021-01-04,0.0,0.31895,0.0,0.25742,0.42363
2021-01-05,0.0,0.27417,0.0,0.21915,0.50668
2021-01-06,0.0,0.31003,0.0,0.17901,0.51096
2021-01-07,0.0,0.34314,0.0,0.12798,0.52888
2021-01-08,0.0,0.46774,0.0,0.0,0.53226
2021-01-11,0.0,0.45651,0.0,0.0,0.54349
2021-01-12,0.0,0.38829,0.0,0.05221,0.5595
2021-01-13,0.0,0.4107,0.0,0.0,0.58748
2021-01-14,0.0,0.40269,0.0,0.0,0.59731
2021-01-15,0.0,0.41503,0.0,0.0,0.58497
2021-01-18,0.0,0.42017,0.0,0.0,0.57983
2021-01-19,0.0,0.45581,0.0,0.0,0.54419
2021-01-20,0.0,0.4347,0.0,0.0,0.5653
2021-01-21,0.0,0.46842,0.0,0.0,0.53158
2021-01-22,0.0,0.42856,0.0,0.0,0.57144
2021-01-25,0.0,0.44716,0.0,0.0,0.55284
2021-01-26,0.0,0.45743,0.0,0.0,0.54257
2021-01-27,0.0,0.47846,0.0,0.0,0.51649
2021-01-28,0.0,0.47693,0.0,0.0,0.52307
2021-01-29,0.0,0.43133,0.0,0.0,0.56867
2021-02-01,0.0,0.38822,0.0,0.0,0.61178
2021-02-02,0.0,0.38176,0.0,0.0,0.61824
2021-02-03,0.0,0.37399,0.0,0.0,0.62601
2021-02-04,0.0,0.35184,0.0,0.0,0.64816
2021-02-05,0.0,0.26763,0.0,0.0,0.73237
2021-02-08,0.0,0.19478,0.0,0.0,0.80522
2021-02-09,0.01209,0.18016,0.0,0.0,0.80775
2021-02-10,0.04626,0.08729,0.0,0.0,0.86646
2021-02-11,0.01661,0.1049,0.0,0.0,0.87849
2021-02-12,0.06183,0.02537,0.0,0.0,0.9128
2021-02-15,0.06843,0.0,0.0,0.0,0.93157
2021-02-16,0.07731,0.0,0.0,0.0,0.92269
2021-02-17,0.07612,0.0,0.0,0.0,0.92388
2021-02-18,0.11434,0.0,0.0,0.0,0.88566
2021-02-19,0.14555,0.0,0.0,0.0,0.85445
2021-02-22,0.13941,0.0,0.0,0.0,0.86059
2021-02-23,0.04042,0.12651,0.0,0.0,0.83307
2021-02-24,0.1046,0.08062,0.0,0.01042,0.80436
2021-02-25,0.08398,0.11132,0.0,0.0,0.8047
2021-02-26,0.09369,0.10793,0.0,0.0,0.79838
2021-03-01,0.09212,0.06535,0.0,0.0,0.84253
