Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.41529,0.0,0.23818,0.34653
2020-10-12,0.0,0.41804,0.0,0.23593,0.34603
2020-10-13,0.0,0.41789,0.0,0.23606,0.34605
2020-10-14,0.0,0.41783,0.0,0.2364,0.34577
2020-10-15,0.0,0.41722,0.0,0.23724,0.34554
2020-10-16,0.0,0.42049,0.0,0.23216,0.34735
2020-10-19,0.0,0.42137,0.0,0.23142,0.34721
2020-10-20,0.0,0.42023,0.0,0.23256,0.34721
2020-10-21,0.0,0.4169,0.0,0.23555,0.34754
2020-10-22,0.0,0.41588,0.0,0.2365,0.34763
2020-10-23,0.0,0.41494,0.0,0.23811,0.34695
2020-10-26,0.0,0.41888,0.0,0.2316,0.34952
2020-10-27,0.0,0.41897,0.0,0.2339,0.34713
2020-10-28,0.0,0.43005,0.0,0.22072,0.34923
2020-10-29,0.0,0.4184,0.0,0.23457,0.34703
2020-10-30,0.0,0.40707,0.0,0.24723,0.3457
2020-11-02,0.0,0.41806,0.0,0.24058,0.34136
2020-11-03,0.0,0.40996,0.0,0.24751,0.34253
2020-11-04,0.0,0.41745,0.0,0.23659,0.34596
2020-11-05,0.0,0.42436,0.0,0.22735,0.3483
2020-11-06,0.0,0.43065,0.0,0.2226,0.34675
2020-11-09,0.0,0.44354,0.0,0.21482,0.34163
2020-11-10,0.0,0.42512,0.0,0.231,0.34387
2020-11-11,0.0,0.42268,0.0,0.23675,0.34057
2020-11-12,0.0,0.42454,0.0,0.23329,0.34216
2020-11-13,0.0,0.42379,0.0,0.23395,0.34226
2020-11-16,0.0,0.42376,0.0,0.2336,0.34264
2020-11-17,0.0,0.42354,0.0,0.23401,0.34246
2020-11-18,0.0,0.42106,0.0,0.23704,0.34191
2020-11-19,0.0,0.42323,0.0,0.23582,0.34095
2020-11-20,0.0,0.42209,0.0,0.23578,0.34212
2020-11-23,0.0,0.42358,0.0,0.23492,0.3415
2020-11-24,0.0,0.42383,0.0,0.23768,0.33849
2020-11-25,0.0,0.42501,0.0,0.2346,0.34039
2020-11-26,0.0,0.42248,0.0,0.23702,0.3405
2020-11-27,0.0,0.42542,0.0,0.23425,0.34033
2020-11-30,0.0,0.42827,0.0,0.23013,0.3416
2020-12-01,0.0,0.42852,0.0,0.2298,0.34168
2020-12-02,0.0,0.43099,0.0,0.22674,0.34227
2020-12-03,0.0,0.43344,0.0,0.22417,0.3424
2020-12-04,0.0,0.44475,0.0,0.21363,0.34162
2020-12-07,0.0,0.4379,0.0,0.21906,0.34303
2020-12-08,0.0,0.43392,0.0,0.22352,0.34256
2020-12-09,0.0,0.43575,0.0,0.22104,0.34321
2020-12-10,0.0,0.43311,0.0,0.22461,0.34228
2020-12-11,0.0,0.43091,0.0,0.22729,0.3418
2020-12-14,0.0,0.428,0.0,0.23046,0.34154
2020-12-15,0.0,0.42608,0.0,0.23325,0.34068
2020-12-16,0.0,0.42576,0.0,0.23339,0.34085
2020-12-17,0.0,0.44028,0.0,0.21765,0.34207
2020-12-18,0.0,0.45569,0.0,0.20181,0.3425
2020-12-21,0.0,0.44802,0.0,0.20974,0.34224
2020-12-22,0.0,0.43147,0.0,0.22909,0.33943
2020-12-23,0.0,0.43096,0.0,0.22958,0.33946
2020-12-28,0.0,0.43065,0.0,0.22959,0.33976
2020-12-29,0.0,0.43765,0.0,0.22165,0.3407
2020-12-30,0.0,0.44031,0.0,0.2186,0.34109
2020-12-31,0.0,0.44334,0.0,0.21463,0.34202
2021-01-04,0.0,0.45538,0.0,0.20103,0.34359
2021-01-05,0.0,0.47087,0.0,0.18121,0.34792
2021-01-06,0.0,0.45933,0.0,0.19426,0.3464
2021-01-07,0.0,0.45683,0.0,0.19514,0.34803
2021-01-08,0.0,0.47345,0.0,0.17958,0.34697
2021-01-11,0.0,0.47147,0.0,0.18237,0.34616
2021-01-12,0.0,0.4703,0.0,0.18044,0.34926
2021-01-13,0.0,0.48622,0.0,0.16581,0.34797
2021-01-14,0.0,0.49436,0.0,0.15801,0.34764
2021-01-15,0.0,0.5237,0.0,0.13206,0.34424
2021-01-18,0.0,0.50748,0.0,0.14721,0.34531
2021-01-19,0.0,0.51507,0.0,0.14251,0.34242
2021-01-20,0.0,0.51075,0.0,0.1452,0.34405
2021-01-21,0.0,0.49246,0.0,0.16905,0.33849
2021-01-22,0.0,0.49094,0.0,0.17276,0.3363
2021-01-25,0.0,0.48517,0.0,0.1772,0.33764
2021-01-26,0.0,0.48487,0.0,0.17492,0.34021
2021-01-27,0.0,0.49135,0.0,0.17198,0.33667
2021-01-28,0.0,0.46658,0.0,0.19706,0.33636
2021-01-29,0.0,0.47813,0.0,0.18473,0.33714
2021-02-01,0.0,0.45731,0.0,0.20671,0.33597
2021-02-02,0.0,0.46502,0.0,0.19808,0.3369
2021-02-03,0.0,0.48152,0.0,0.17886,0.33963
2021-02-04,0.0,0.47426,0.0,0.18068,0.34506
2021-02-05,0.0,0.47956,0.0,0.17784,0.3426
2021-02-08,0.0,0.48601,0.0,0.17555,0.33843
2021-02-09,0.0,0.48819,0.0,0.17066,0.34115
2021-02-10,0.0,0.48822,0.0,0.1667,0.34508
2021-02-11,0.0,0.47884,0.0,0.17521,0.34595
2021-02-12,0.0,0.4874,0.0,0.16978,0.34282
2021-02-15,0.0,0.50623,0.0,0.15311,0.34066
2021-02-16,0.0,0.50152,0.0,0.15566,0.34281
2021-02-17,0.0,0.49858,0.0,0.15715,0.34426
2021-02-18,0.0,0.4696,0.0,0.17259,0.35781
2021-02-19,0.0,0.46153,0.0,0.17813,0.36034
2021-02-22,0.0,0.46243,0.0,0.17796,0.35962
2021-02-23,0.0,0.45181,0.0,0.16161,0.38658
2021-02-24,0.0,0.43433,0.0,0.18091,0.38475
2021-02-25,0.0,0.44362,0.0,0.16579,0.39059
2021-02-26,0.0,0.43596,0.0,0.17156,0.39248
2021-03-01,0.0,0.42091,0.0,0.17174,0.40735
2021-03-02,0.0,0.43351,0.0,0.14638,0.42011
2021-03-03,0.0,0.42467,0.0,0.15892,0.41641
2021-03-04,0.0,0.42608,0.0,0.17564,0.39828
2021-03-05,0.0,0.40687,0.0,0.17065,0.42249
2021-03-08,0.0,0.39877,0.0,0.18019,0.42103
2021-03-09,0.0,0.44467,0.0,0.20897,0.34636
2021-03-10,0.0,0.47547,0.0,0.17498,0.34954
2021-03-11,0.0,0.42209,0.0,0.21018,0.36773
2021-03-12,0.0,0.43012,0.02224,0.19213,0.3555
2021-03-15,0.0,0.3761,0.05522,0.23282,0.33586
2021-03-16,0.0,0.41774,0.02127,0.23049,0.3305
2021-03-17,0.0,0.43954,0.05592,0.18471,0.31982
2021-03-18,0.0,0.41414,0.0613,0.21171,0.31285
2021-03-19,0.0,0.37421,0.15392,0.17869,0.29317
2021-03-22,0.0,0.39534,0.12987,0.16865,0.30613
2021-03-23,0.0,0.42912,0.11519,0.14724,0.30846
2021-03-24,0.0,0.40631,0.14271,0.11798,0.333
2021-03-25,0.0,0.40653,0.13384,0.12184,0.33779
2021-03-26,0.0,0.40707,0.14242,0.11677,0.33374
2021-03-29,0.0,0.40419,0.15346,0.12177,0.32058
2021-03-30,0.0,0.3309,0.22673,0.14338,0.29898
2021-03-31,0.0,0.36272,0.20878,0.14605,0.28245
2021-04-01,0.0,0.34333,0.21791,0.17778,0.26098
2021-04-06,0.0,0.32509,0.22403,0.19027,0.26062
2021-04-07,0.0,0.34984,0.21702,0.18749,0.24565
2021-04-08,0.0,0.34403,0.20577,0.1984,0.2518
2021-04-09,0.0,0.33141,0.22745,0.1882,0.25295
2021-04-12,0.0,0.38112,0.2215,0.16898,0.22839
2021-04-13,0.0,0.4032,0.20308,0.18002,0.2137
2021-04-14,0.0,0.44755,0.18909,0.16929,0.19408
2021-04-15,0.0,0.43428,0.18955,0.15913,0.21704
2021-04-16,0.0,0.44782,0.18802,0.15183,0.21233
2021-04-19,0.0,0.46722,0.17924,0.15407,0.19947
2021-04-20,0.0,0.44598,0.17995,0.16893,0.20514
2021-04-21,0.0,0.43817,0.18064,0.17475,0.20645
2021-04-22,0.0,0.44736,0.17502,0.18117,0.19644
